,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9326923076923077,0.8916666666666666,0.8148148148148149,0.8227848101265822
1,1,0.9718137254901961,0.771397616468039,0.8625,0.7976190476190477
2,2,0.8208616780045351,0.8348717948717949,0.8441558441558441,0.8125
3,3,0.8300469483568076,0.943496801705757,0.8488372093023255,0.9012345679012346
4,4,0.8918650793650793,0.7757352941176471,0.8607594936708861,0.8
5,5,0.9270833333333334,0.8871794871794871,0.8658536585365854,0.7792207792207793
6,6,0.8238573021181717,0.8846153846153846,0.8292682926829268,0.8765432098765432
7,7,0.7742857142857142,0.8829039812646371,0.8,0.8933333333333333
8,8,0.7188405797101449,0.8539576365663323,0.6547619047619048,0.7926829268292683
9,9,0.895774647887324,0.8668831168831168,0.8837209302325582,0.8875
