,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8711538461538461,0.8270833333333334,0.8888888888888888,0.8860759493670887
1,1,0.9656862745098039,0.8927410617551463,0.8875,0.8690476190476191
2,2,0.8639455782312925,0.8266666666666667,0.7922077922077921,0.775
3,3,0.9014084507042254,0.812366737739872,0.8488372093023255,0.8641975308641976
4,4,0.8134920634920635,0.875,0.8354430379746836,0.85
5,5,0.8901515151515151,0.9384615384615385,0.8658536585365854,0.8701298701298701
6,6,0.8160535117056856,0.8766968325791855,0.8536585365853658,0.8641975308641976
7,7,0.8038095238095238,0.8056206088992974,0.8352941176470589,0.8133333333333334
8,8,0.8879227053140097,0.8729096989966556,0.8571428571428572,0.8780487804878049
9,9,0.8065727699530516,0.8354978354978355,0.813953488372093,0.8375
