,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9134615384615384,0.8114583333333333,0.8888888888888888,0.8354430379746836
1,1,0.9142156862745097,0.8645720476706393,0.675,0.6904761904761905
2,2,0.8945578231292517,0.8451282051282052,0.8701298701298701,0.875
3,3,0.9586854460093897,0.915778251599147,0.8255813953488372,0.8518518518518519
4,4,0.8313492063492063,0.8223039215686274,0.8354430379746836,0.85
5,5,0.9431818181818182,0.9217948717948717,0.9024390243902439,0.8701298701298701
6,6,0.8182831661092531,0.8721719457013576,0.8536585365853658,0.8518518518518519
7,7,0.8428571428571429,0.8067915690866511,0.8941176470588236,0.8666666666666667
8,8,0.7913043478260869,0.7993311036789298,0.7857142857142857,0.8536585365853658
9,9,0.9352112676056339,0.843073593073593,0.8953488372093024,0.875
