,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9038461538461539,0.9187500000000001,0.9259259259259259,0.8734177215189873
1,1,0.9019607843137255,0.7908992416034669,0.9125,0.7857142857142857
2,2,0.8038548752834467,0.8666666666666666,0.8311688311688312,0.85
3,3,0.8253521126760563,0.8550106609808102,0.872093023255814,0.8518518518518519
4,4,0.8174603174603176,0.829656862745098,0.8354430379746836,0.75
5,5,0.9337121212121212,0.8935897435897436,0.8536585365853658,0.7792207792207793
6,6,0.8149386845039019,0.842760180995475,0.8536585365853658,0.8641975308641976
7,7,0.7514285714285713,0.8372365339578454,0.7294117647058824,0.6533333333333333
8,8,0.5748792270531401,0.7892976588628763,0.7619047619047619,0.8414634146341463
9,9,0.8704225352112676,0.8051948051948051,0.8837209302325582,0.8625
