,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9355769230769231,0.8625,0.9135802469135803,0.8481012658227848
1,1,0.9436274509803921,0.8450704225352113,0.9125,0.8333333333333334
2,2,0.9115646258503401,0.8133333333333334,0.9090909090909091,0.8375
3,3,0.8582159624413146,0.847547974413646,0.8488372093023255,0.8518518518518519
4,4,0.8878968253968255,0.8737745098039216,0.8481012658227848,0.8625
5,5,0.9422348484848485,0.9371794871794872,0.8658536585365854,0.7792207792207793
6,6,0.7257525083612041,0.8891402714932127,0.8048780487804879,0.8641975308641976
7,7,0.8504761904761905,0.8149882903981265,0.8117647058823529,0.7733333333333333
8,8,0.817391304347826,0.907469342251951,0.7857142857142857,0.9146341463414634
9,9,0.9220657276995305,0.7608225108225108,0.9186046511627907,0.8625
