,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9134615384615384,0.8916666666666666,0.8765432098765432,0.7974683544303798
1,1,0.9767156862745098,0.8396533044420369,0.925,0.8571428571428572
2,2,0.9217687074829932,0.8584615384615385,0.8441558441558441,0.8875
3,3,0.8892018779342723,0.8880597014925373,0.8837209302325582,0.8765432098765432
4,4,0.7787698412698413,0.8786764705882353,0.8227848101265822,0.825
5,5,0.9450757575757576,0.9243589743589744,0.9024390243902439,0.8181818181818181
6,6,0.8216276477146043,0.914027149321267,0.9146341463414634,0.8641975308641976
7,7,0.8466666666666667,0.8524590163934426,0.8588235294117648,0.8533333333333333
8,8,0.8695652173913044,0.8996655518394648,0.8452380952380952,0.9146341463414634
9,9,0.8995305164319248,0.8971861471861472,0.8953488372093024,0.8875
