,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.823076923076923,0.803125,0.7407407407407407,0.7088607594936709
1,1,0.9178921568627452,0.7475622968580715,0.8875,0.7738095238095238
2,2,0.8673469387755103,0.8266666666666668,0.8181818181818181,0.825
3,3,0.803755868544601,0.8592750533049041,0.813953488372093,0.8024691358024691
4,4,0.7748015873015873,0.8848039215686274,0.7468354430379747,0.7875
5,5,0.9176136363636364,0.9538461538461538,0.8780487804878049,0.8441558441558441
6,6,0.8272017837235228,0.8325791855203619,0.9024390243902439,0.8765432098765432
7,7,0.8104761904761905,0.797423887587822,0.8352941176470589,0.72
8,8,0.6521739130434783,0.7837235228539576,0.7142857142857143,0.8292682926829268
9,9,0.9530516431924883,0.9188311688311689,0.8255813953488372,0.825
