,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7432692307692308,0.7145833333333333,0.8148148148148149,0.7974683544303798
1,1,0.6090686274509804,0.71397616468039,0.7625,0.8214285714285714
2,2,0.7335600907029478,0.676923076923077,0.8051948051948052,0.825
3,3,0.8535211267605635,0.8912579957356076,0.8372093023255813,0.8765432098765432
4,4,0.7698412698412698,0.818627450980392,0.7974683544303798,0.8125
5,5,0.7575757575757576,0.7512820512820513,0.7926829268292683,0.7402597402597403
6,6,0.7268673355629878,0.7771493212669683,0.7926829268292683,0.7901234567901234
7,7,0.820952380952381,0.7412177985948478,0.8,0.6933333333333334
8,8,0.6705314009661836,0.867335562987737,0.75,0.8536585365853658
9,9,0.876056338028169,0.6623376623376623,0.7441860465116279,0.6
