,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8096153846153846,0.7947916666666667,0.8518518518518519,0.810126582278481
1,1,0.8063725490196079,0.790899241603467,0.725,0.7738095238095238
2,2,0.8458049886621315,0.8492307692307691,0.7922077922077921,0.85
3,3,0.8103286384976527,0.7942430703624733,0.8023255813953488,0.8395061728395061
4,4,0.7291666666666667,0.9325980392156863,0.7848101265822784,0.9
5,5,0.8323863636363635,0.8397435897435898,0.8414634146341463,0.8051948051948052
6,6,0.8149386845039019,0.6855203619909502,0.8414634146341463,0.7901234567901234
7,7,0.8247619047619048,0.7833723653395784,0.8470588235294118,0.8266666666666667
8,8,0.7768115942028986,0.8695652173913044,0.8214285714285714,0.8658536585365854
9,9,0.8403755868544601,0.8160173160173161,0.7906976744186046,0.825
